DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
SÁBADO,17/12/2022,104,116,220,2086,2510,4596
DOMINGO,18/12/2022,69,26,95,1321,473,1794
LUNES,19/12/2022,138,33,171,1800,667,2467
MARTES,20/12/2022,127,22,149,1639,377,2016
MIÉRCOLES,21/12/2022,130,21,151,1630,502,2131
JUEVES,22/12/2022,108,49,157,1373,1022,2395
VIERNES,23/12/2022,106,56,162,1344,994,2338
SÁBADO,24/12/2022,64,53,117,989,2033,3022
DOMINGO,25/12/2022,21,0,21,815,0,815
LUNES,26/12/2022,103,41,144,1951,797,2747
MARTES,27/12/2022,158,25,183,2117,523,2640
MIÉRCOLES,28/12/2022,144,36,180,1935,671,2606
JUEVES,29/12/2022,135,40,175,1798,870,2668
VIERNES,30/12/2022,147,74,221,2003,1466,3469
SÁBADO,31/12/2022,67,0,67,1318,0,1318
DOMINGO,1/01/2023,25,0,25,525,0,525
LUNES,2/01/2023,104,40,144,1530,647,2177
MARTES,3/01/2023,150,50,200,2075,934,3008
MIÉRCOLES,4/01/2023,179,56,235,2696,847,3544
JUEVES,5/01/2023,129,71,200,1851,1251,3102
VIERNES,6/01/2023,111,62,173,2428,1155,3584
SÁBADO,7/01/2023,106,86,192,2177,1490,3668
DOMINGO,8/01/2023,92,8,100,2019,112,2131
LUNES,9/01/2023,131,23,154,1884,450,2334
MARTES,10/01/2023,118,22,140,1757,375,2132
MIÉRCOLES,11/01/2023,129,34,163,1676,725,2401
JUEVES,12/01/2023,107,30,137,1453,695,2148
VIERNES,13/01/2023,126,90,216,1956,1793,3749
SÁBADO,14/01/2023,142,107,249,2962,2273,5235
DOMINGO,15/01/2023,126,15,141,2575,311,2885
LUNES,16/01/2023,82,21,103,1110,370,1480
MARTES,17/01/2023,87,24,111,1294,499,1792
MIÉRCOLES,18/01/2023,134,59,193,1764,1407,3171
JUEVES,19/01/2023,106,55,161,1417,1103,2521
VIERNES,20/01/2023,142,94,236,2205,1672,3876
SÁBADO,21/01/2023,122,107,229,2716,2042,4758
DOMINGO,22/01/2023,87,32,119,1804,553,2357
LUNES,23/01/2023,99,26,125,1329,609,1938
MARTES,24/01/2023,110,13,123,1621,273,1894
MIÉRCOLES,25/01/2023,114,23,137,1687,419,2106
JUEVES,26/01/2023,121,21,142,1611,444,2056
VIERNES,27/01/2023,145,99,244,2056,1880,3936
SÁBADO,28/01/2023,136,107,243,2763,2209,4973
DOMINGO,29/01/2023,97,14,111,1936,262,2198
LUNES,30/01/2023,129,14,143,1782,321,2103
MARTES,31/01/2023,100,22,122,1285,452,1738
MIÉRCOLES,1/02/2023,112,19,131,1520,388,1909
JUEVES,2/02/2023,125,29,154,1664,647,2310
VIERNES,3/02/2023,129,83,212,1854,1695,3550
SÁBADO,4/02/2023,117,107,224,2410,2159,4569
DOMINGO,5/02/2023,106,24,130,2252,424,2676
LUNES,6/02/2023,96,17,113,1304,484,1788
MARTES,7/02/2023,121,17,138,1750,413,2163
MIÉRCOLES,8/02/2023,112,15,127,1560,331,1890
JUEVES,9/02/2023,123,45,168,1640,845,2485
VIERNES,10/02/2023,116,113,229,1606,1946,3552
SÁBADO,11/02/2023,133,113,246,2796,2280,5076
DOMINGO,12/02/2023,105,28,133,2239,574,2813
LUNES,13/02/2023,79,21,100,1136,501,1637
MARTES,14/02/2023,102,38,140,1522,797,2318
MIÉRCOLES,15/02/2023,98,41,139,1397,742,2139
JUEVES,16/02/2023,110,26,136,1556,580,2136
VIERNES,17/02/2023,101,85,186,1360,1692,3052
SÁBADO,18/02/2023,118,108,226,2759,1895,4655
DOMINGO,19/02/2023,103,38,141,2284,676,2960
LUNES,20/02/2023,115,15,130,1545,334,1879
MARTES,21/02/2023,98,45,143,1314,1030,2344
MIÉRCOLES,22/02/2023,116,31,147,1459,506,1965
JUEVES,23/02/2023,116,37,153,1486,860,2346
VIERNES,24/02/2023,132,93,225,1684,1952,3636
SÁBADO,25/02/2023,126,127,253,2732,2648,5380
DOMINGO,26/02/2023,101,30,131,2259,451,2710
LUNES,27/02/2023,93,21,114,1382,327,1709
MARTES,28/02/2023,134,7,141,2005,178,2184
MIÉRCOLES,1/03/2023,140,25,165,1872,587,2459
JUEVES,2/03/2023,124,29,153,1664,625,2289
VIERNES,3/03/2023,135,84,219,1915,1734,3650
SÁBADO,4/03/2023,149,123,272,3075,2433,5508
DOMINGO,5/03/2023,104,24,128,2110,376,2487
LUNES,6/03/2023,74,26,100,1008,456,1465
MARTES,7/03/2023,115,37,152,1540,717,2256
MIÉRCOLES,8/03/2023,85,62,147,1148,1304,2453
JUEVES,9/03/2023,124,17,141,1658,430,2087
VIERNES,10/03/2023,108,67,175,1551,1315,2867
SÁBADO,11/03/2023,118,125,243,2270,2564,4834
DOMINGO,12/03/2023,115,11,126,2448,221,2670
LUNES,13/03/2023,102,27,129,1354,691,2045
MARTES,14/03/2023,103,42,145,1465,840,2305
MIÉRCOLES,15/03/2023,98,40,138,1294,737,2031
JUEVES,16/03/2023,123,32,155,1848,675,2523
VIERNES,17/03/2023,125,116,241,2003,2382,4385
SÁBADO,18/03/2023,121,141,262,2737,3112,5849
DOMINGO,19/03/2023,125,60,185,2638,1156,3794
LUNES,20/03/2023,108,36,144,2151,624,2775
MARTES,21/03/2023,99,86,185,1462,1498,2960
MIÉRCOLES,22/03/2023,104,14,118,1468,312,1780
JUEVES,23/03/2023,109,20,129,1579,450,2028
VIERNES,24/03/2023,114,111,225,1687,2359,4045
SÁBADO,25/03/2023,114,123,237,2530,2641,5170
DOMINGO,26/03/2023,105,77,182,2153,1502,3655
LUNES,27/03/2023,71,20,91,1054,459,1513
MARTES,28/03/2023,108,23,131,1433,480,1913
MIÉRCOLES,29/03/2023,130,35,165,1767,721,2487
JUEVES,30/03/2023,124,33,157,1784,703,2488
VIERNES,31/03/2023,115,82,197,1632,1601,3233
SÁBADO,1/04/2023,121,129,250,2503,2933,5436
DOMINGO,2/04/2023,110,70,180,2312,1236,3548
LUNES,3/04/2023,90,28,118,1222,654,1875
MARTES,4/04/2023,101,49,150,1387,1051,2438
MIÉRCOLES,5/04/2023,117,30,147,1587,530,2117
JUEVES,6/04/2023,98,83,181,1756,1482,3238
VIERNES,7/04/2023,90,99,189,2007,1822,3830
SÁBADO,8/04/2023,107,73,180,2231,1622,3853
DOMINGO,9/04/2023,59,39,98,1264,732,1995
LUNES,10/04/2023,98,6,104,1305,99,1403
MARTES,11/04/2023,88,43,131,1148,937,2085
MIÉRCOLES,12/04/2023,105,33,138,1494,628,2122
JUEVES,13/04/2023,104,16,120,1434,277,1711
VIERNES,14/04/2023,120,103,223,1675,2238,3914
SÁBADO,15/04/2023,95,83,178,2119,1770,3889
DOMINGO,16/04/2023,0,0,0,0,0,0
LUNES,17/04/2023,91,37,128,1132,870,2002
MARTES,18/04/2023,88,18,106,1250,351,1601
MIÉRCOLES,19/04/2023,95,15,110,1260,259,1519
JUEVES,20/04/2023,88,28,116,1272,644,1916
VIERNES,21/04/2023,93,96,189,1236,1833,3070
SÁBADO,22/04/2023,131,95,226,2831,1946,4777
DOMINGO,23/04/2023,82,26,108,1702,599,2300
LUNES,24/04/2023,110,26,136,1481,524,2005
MARTES,25/04/2023,93,41,134,1227,917,2144
MIÉRCOLES,26/04/2023,88,18,106,1189,375,1564
JUEVES,27/04/2023,74,39,113,926,790,1716
VIERNES,28/04/2023,86,71,157,1195,1400,2594
SÁBADO,29/04/2023,81,107,188,1703,2113,3817
DOMINGO,30/04/2023,101,40,141,2144,740,2884
LUNES,1/05/2023,86,32,118,1776,643,2419
MARTES,2/05/2023,60,11,71,1186,192,1378
MIÉRCOLES,3/05/2023,75,47,122,983,1276,2259
JUEVES,4/05/2023,60,20,80,801,358,1159
VIERNES,5/05/2023,47,56,103,1732,1035,2766
SÁBADO,6/05/2023,98,100,198,2047,2143,4191
DOMINGO,7/05/2023,65,41,106,1385,855,2240
LUNES,8/05/2023,68,30,98,928,618,1547
MARTES,9/05/2023,81,11,92,1152,286,1438
MIÉRCOLES,10/05/2023,73,65,138,808,1781,2589
JUEVES,11/05/2023,82,23,105,1108,437,1545
VIERNES,12/05/2023,80,54,134,1100,1102,2202
SÁBADO,13/05/2023,77,58,135,1706,1101,2807
DOMINGO,14/05/2023,80,19,99,1711,420,2131
LUNES,15/05/2023,59,25,84,1172,472,1645
MARTES,16/05/2023,81,24,105,1077,413,1490
MIÉRCOLES,17/05/2023,103,60,163,1493,1498,2991
JUEVES,18/05/2023,86,33,119,1232,678,1911
VIERNES,19/05/2023,92,70,162,1317,1358,2676
SÁBADO,20/05/2023,69,63,132,1608,1550,3158
DOMINGO,21/05/2023,84,33,117,1728,676,2404
LUNES,22/05/2023,86,30,116,1208,711,1919
MARTES,23/05/2023,78,27,105,1128,570,1698
MIÉRCOLES,24/05/2023,78,36,114,1035,879,1914
JUEVES,25/05/2023,85,26,111,1131,557,1688
VIERNES,26/05/2023,85,63,148,1188,1214,2402
SÁBADO,27/05/2023,93,94,187,2103,1893,3996
DOMINGO,28/05/2023,81,35,116,1671,730,2401
LUNES,29/05/2023,78,38,116,1130,894,2024
MARTES,30/05/2023,71,21,92,991,464,1455
MIÉRCOLES,31/05/2023,77,28,105,1004,625,1629
JUEVES,1/06/2023,107,29,136,1423,630,2053
VIERNES,2/06/2023,70,69,139,1019,1497,2516
SÁBADO,3/06/2023,88,82,170,1805,1828,3634
DOMINGO,4/06/2023,81,32,113,1653,655,2308
LUNES,5/06/2023,75,36,111,1062,1073,2134
MARTES,6/06/2023,124,44,168,1450,869,2319
MIÉRCOLES,7/06/2023,94,32,126,1289,792,2081
JUEVES,8/06/2023,84,27,111,1146,509,1656
VIERNES,9/06/2023,82,59,141,1180,1232,2412
SÁBADO,10/06/2023,143,82,225,2155,1893,4047
DOMINGO,11/06/2023,65,29,94,1355,528,1884
LUNES,12/06/2023,92,22,114,1245,449,1694
MARTES,13/06/2023,91,49,140,1265,986,2252
MIÉRCOLES,14/06/2023,118,22,140,1643,509,2152
JUEVES,15/06/2023,95,13,108,1282,321,1602
VIERNES,16/06/2023,76,63,139,1031,1381,2412
SÁBADO,17/06/2023,90,78,168,1956,1545,3501
DOMINGO,18/06/2023,74,25,99,1625,471,2096
LUNES,19/06/2023,70,35,105,912,772,1684
MARTES,20/06/2023,74,28,102,1039,545,1584
MIÉRCOLES,21/06/2023,73,27,100,1024,638,1662
JUEVES,22/06/2023,99,23,122,1413,469,1882
VIERNES,23/06/2023,68,78,146,984,1579,2563
SÁBADO,24/06/2023,79,93,172,2827,1789,4616
DOMINGO,25/06/2023,70,30,100,1440,537,1977
LUNES,26/06/2023,71,51,122,980,987,1967
MARTES,27/06/2023,91,60,151,1967,1338,3305
MIÉRCOLES,28/06/2023,82,30,112,1082,523,1605
JUEVES,29/06/2023,80,16,96,1005,296,1301
VIERNES,30/06/2023,82,72,154,1187,1514,2700
SÁBADO,1/07/2023,82,40,122,1807,869,2676
DOMINGO,2/07/2023,94,28,122,1827,583,2410
LUNES,3/07/2023,106,48,154,1463,848,2311
MARTES,4/07/2023,82,44,126,1081,909,1990
MIÉRCOLES,5/07/2023,70,22,92,930,499,1429
JUEVES,6/07/2023,86,26,112,1278,501,1779
VIERNES,7/07/2023,61,44,105,817,918,1735
SÁBADO,8/07/2023,99,94,193,2011,1716,3727
DOMINGO,9/07/2023,33,40,73,696,771,1467
LUNES,10/07/2023,112,15,127,1503,295,1798
MARTES,11/07/2023,81,42,123,1021,883,1904
MIÉRCOLES,12/07/2023,113,11,124,1549,204,1753
JUEVES,13/07/2023,90,29,119,1359,472,1832
VIERNES,14/07/2023,80,48,128,1185,934,2119
SÁBADO,15/07/2023,84,68,152,1697,1402,3099
DOMINGO,16/07/2023,40,12,52,803,265,1068
LUNES,17/07/2023,66,24,90,884,487,1371
MARTES,18/07/2023,82,11,93,1095,243,1338
MIÉRCOLES,19/07/2023,87,46,133,1098,1167,2264
JUEVES,20/07/2023,93,36,129,1172,639,1810
VIERNES,21/07/2023,53,59,112,804,1094,1898
SÁBADO,22/07/2023,62,62,124,1259,1205,2465
DOMINGO,23/07/2023,29,22,51,622,455,1077
LUNES,24/07/2023,77,16,93,995,302,1297
MARTES,25/07/2023,92,40,132,1264,776,2039
MIÉRCOLES,26/07/2023,65,40,105,883,794,1677
JUEVES,27/07/2023,90,16,106,1220,295,1516
VIERNES,28/07/2023,40,47,87,604,837,1441
SÁBADO,29/07/2023,73,38,111,1347,796,2142
DOMINGO,30/07/2023,81,26,107,1356,495,1851
LUNES,31/07/2023,75,15,90,971,384,1355
MARTES,1/08/2023,47,32,79,1079,2139,3218
MIÉRCOLES,2/08/2023,80,21,101,2640,2797,5437
JUEVES,3/08/2023,70,24,94,1690,728,2418
VIERNES,4/08/2023,74,29,103,1732,735,2467
SÁBADO,5/08/2023,71,69,140,1501,840,2341
DOMINGO,6/08/2023,64,40,104,1650,1010,2660
LUNES,7/08/2023,72,50,122,1777,956,2732
MARTES,8/08/2023,83,45,128,1112,2203,3314
MIÉRCOLES,9/08/2023,106,30,136,2719,2881,5600
JUEVES,10/08/2023,63,35,98,1741,750,2491
VIERNES,11/08/2023,73,43,116,1749,742,2491
SÁBADO,12/08/2023,64,59,123,1516,849,2364
DOMINGO,13/08/2023,76,21,97,1666,1020,2686
LUNES,14/08/2023,111,25,136,1794,965,2759
MARTES,15/08/2023,91,15,106,1122,2224,3347
MIÉRCOLES,16/08/2023,104,16,120,2745,2909,5654
JUEVES,17/08/2023,84,25,109,1758,757,2515
VIERNES,18/08/2023,82,29,111,1766,749,2515
SÁBADO,19/08/2023,67,73,140,1530,857,2387
DOMINGO,20/08/2023,47,40,87,1682,1029,2712
LUNES,21/08/2023,75,21,96,1811,974,2785
MARTES,22/08/2023,103,26,129,1133,2246,3379
MIÉRCOLES,23/08/2023,123,23,146,2772,2937,5708
JUEVES,24/08/2023,121,20,141,1775,765,2539
VIERNES,25/08/2023,59,63,122,1783,756,2539
SÁBADO,26/08/2023,84,79,163,1545,865,2410
DOMINGO,27/08/2023,91,21,112,1698,1039,2738
LUNES,28/08/2023,68,37,105,1829,983,2812
MARTES,29/08/2023,111,16,127,1144,2267,3411
MIÉRCOLES,30/08/2023,107,59,166,2798,2965,5763
JUEVES,31/08/2023,102,30,132,2625,750,3375
VIERNES,01/09/2023,68,69,137,1013,1141,2154
SÁBADO,02/09/2023,101,70,171,1987,1404,3391
DOMINGO,03/09/2023,74,8,82,1594,149,1743
LUNES,04/09/2023,66,12,78,919,341,1260
MARTES,05/09/2023,81,24,105,1039,455,1494
MIÉRCOLES,06/09/2023,112,76,188,1560,1873,3433
JUEVES,07/09/2023,81,35,116,926,734,1660
VIERNES,08/09/2023,86,108,194,1260,1742,3002
SÁBADO,09/09/2023,132,129,261,2494,2175,4669
DOMINGO,10/09/2023,103,132,235,2106,890,2996
LUNES,11/09/2023,90,17,107,1199,350,1549
MARTES,12/09/2023,109,38,147,1462,774,2236
MIÉRCOLES,13/09/2023,96,84,180,1202,1968,3170
JUEVES,14/09/2023,89,26,115,1097,401,1498
VIERNES,15/09/2023,59,49,108,575,1244,1819
SÁBADO,16/09/2023,106,99,205,2201,2099,4300
DOMINGO,17/09/2023,89,37,126,1581,715,2296
LUNES,18/09/2023,77,22,99,981,482,1463
MARTES,19/09/2023,91,21,112,1183,477,1660
MIÉRCOLES,20/09/2023,107,64,171,1255,1632,2887
JUEVES,21/09/2023,97,45,142,1422,898,2320
VIERNES,22/09/2023,110,72,182,1527,1489,3016
SÁBADO,23/09/2023,135,69,204,2388,1554,3942
DOMINGO,24/09/2023,181,19,200,2892,659,3551
LUNES,25/09/2023,129,30,159,1527,610,2137
MARTES,26/09/2023,105,23,128,1315,472,1787
MIÉRCOLES,27/09/2023,80,107,187,1162,2242,3404
JUEVES,28/09/2023,122,47,169,1719,800,2519
VIERNES,29/09/2023,134,114,248,1917,2468,4385
SÁBADO,30/09/2023,148,108,256,2762,2042,4804
DOMINGO,01/10/2023,111,18,129,2000,478,2478
LUNES,02/10/2023,80,40,120,1091,782,1873
MARTES,03/10/2023,98,37,135,1280,698,1978
MIÉRCOLES,04/10/2023,122,43,165,1426,1067,2493
JUEVES,05/10/2023,131,22,153,1783,470,2253
VIERNES,06/10/2023,103,63,166,1353,1590,2943
SÁBADO,07/10/2023,165,164,329,3749,3324,7073
DOMINGO,08/10/2023,164,43,207,3335,838,4173
LUNES,09/10/2023,91,23,114,1215,444,1659
MARTES,10/10/2023,119,44,163,1567,999,2566
MIÉRCOLES,11/10/2023,89,40,129,1164,801,1965
JUEVES,12/10/2023,166,61,227,3130,1069,4199
VIERNES,13/10/2023,173,96,269,1977,2456,4433
SÁBADO,14/10/2023,217,127,344,4613,2660,7273
DOMINGO,15/10/2023,123,26,149,2597,590,3187
LUNES,16/10/2023,89,45,134,1163,1010,2173
MARTES,17/10/2023,105,35,140,1325,698,2023
MIÉRCOLES,18/10/2023,132,51,183,1780,1032,2812
JUEVES,19/10/2023,79,74,153,968,1524,2492
VIERNES,20/10/2023,122,145,267,1651,3710,5361
SÁBADO,21/10/2023,196,186,382,4050,4600,8650
DOMINGO,22/10/2023,152,46,198,3290,1135,4425